TIME_PERIOD,EU27_2007_prod_chicken,EU27_2020_prod_chicken,EU28_prod_chicken,FR_prod_chicken
2000-01,,,,68679.0
2000-02,,,,70204.0
2000-03,,,,87880.0
2000-04,,,,72032.0
2000-05,,,,72065.0
2000-06,,,,82812.0
2000-07,,,,61311.0
2000-08,,,,70072.0
2000-09,,,,81828.0
2000-10,,,,65491.0
2000-11,,,,58667.0
2000-12,,,,84800.0
2001-01,,,,70510.0
2001-02,,,,72167.0
2001-03,,,,89786.0
2001-04,,,,72935.0
2001-05,,,,72871.0
2001-06,,,,84308.0
2001-07,,,,66476.0
2001-08,,,,71111.0
2001-09,,,,86560.0
2001-10,,,,67474.0
2001-11,,,,59382.0
2001-12,,,,82742.0
2002-01,,,,62043.0
2002-02,,,,69687.0
2002-03,,,,82800.0
2002-04,,,,64757.0
2002-05,,,,66671.0
2002-06,,,,79504.0
2002-07,,,,63465.0
2002-08,,,,64404.0
2002-09,,,,78242.0
2002-10,,,,61085.0
2002-11,,,,53092.0
2002-12,,,,77714.0
2003-01,,,,63350.0
2003-02,,,,66009.0
2003-03,,,,77558.0
2003-04,,,,65676.0
2003-05,,,,66157.0
2003-06,,,,80498.0
2003-07,,,,67616.0
2003-08,,,,66434.0
2003-09,,,,78172.0
2003-10,,,,64005.0
2003-11,,,,56041.0
2003-12,,,,78372.0
2004-01,,,,64261.0
2004-02,,,,65471.0
2004-03,,,,76417.0
2004-04,,,,61917.0
2004-05,,,,62364.0
2004-06,,,,72193.0
2004-07,,,,59838.0
2004-08,,,,59649.0
2004-09,,,,72902.0
2004-10,,,,56816.0
2004-11,,,,52003.0
2004-12,,,,89185.0
2005-01,,,,59262.0
2005-02,,,,60774.0
2005-03,,,,78094.0
2005-04,,,,65555.0
2005-05,,,,64692.0
2005-06,,,,77907.0
2005-07,,,,62665.0
2005-08,,,,60355.0
2005-09,,,,75660.0
2005-10,,,,61201.0
2005-11,,,,52344.0
2005-12,,,,72400.0
2006-01,,,,57921.0
2006-02,,,,53736.0
2006-03,,,,54479.0
2006-04,,,,45489.0
2006-05,,,,52140.0
2006-06,,,,71520.0
2006-07,,,,56431.0
2006-08,,,,59202.0
2006-09,,,,70410.0
2006-10,,,,58545.0
2006-11,,,,52563.0
2006-12,,,,70901.0
2007-01,,,,57419.4
2007-02,,,,58933.6
2007-03,,,,75857.4
2007-04,,,,63071.2
2007-05,,,,63959.2
2007-06,,,,77631.6
2007-07,,,,60491.2
2007-08,,,,58431.8
2007-09,,,,72257.6
2007-10,,,,59807.1
2007-11,,,,53973.1
2007-12,,,,75095.3
2008-01,,,,58685.2
2008-02,,,,60988.4
2008-03,,,,79337.3
2008-04,,,,64817.7
2008-05,,,,63545.1
2008-06,,,,77220.3
2008-07,,,,60001.2
2008-08,,,,59727.9
2008-09,,,,73710.6
2008-10,,,,58550.1
2008-11,,,,53682.2
2008-12,,,,73204.5
2009-01,,,,58754.3
2009-02,,,,59183.9
2009-03,,,,79169.5
2009-04,,,,64653.0
2009-05,,,,66885.4
2009-06,,,,78458.9
2009-07,,,,64562.3
2009-08,,,,62560.3
2009-09,,,,78484.0
2009-10,,,,59936.1
2009-11,,,,56263.0
2009-12,,,,87625.6
2010-01,,,,58382.2
2010-02,,,,59518.0
2010-03,,,,75712.7
2010-04,,,,62059.7
2010-05,,,,63162.9
2010-06,,,,73842.5
2010-07,,,,61813.2
2010-08,,,,59302.1
2010-09,,,,74431.4
2010-10,,,,58933.3
2010-11,,,,55974.6
2010-12,,,,75173.6
2011-01,,,,64156.6
2011-02,,,,65777.4
2011-03,,,,84597.4
2011-04,,,,68103.9
2011-05,,,,69497.8
2011-06,,,,82054.2
2011-07,,,,65954.4
2011-08,,,,66238.6
2011-09,,,,78427.9
2011-10,,,,64589.3
2011-11,,,,59513.8
2011-12,,,,79958.0
2012-01,,,,66074.5
2012-02,,,,66385.4
2012-03,,,,82095.6
2012-04,,,,69279.6
2012-05,,,,71296.8
2012-06,,,,83715.1
2012-07,,,,66711.5
2012-08,,,,65830.6
2012-09,,,,81387.7
2012-10,,,,70936.6
2012-11,,,,62844.5
2012-12,,,,85810.5
2013-01,,,,70400.45
2013-02,,,,68935.57
2013-03,,,,87443.17
2013-04,,,,68793.19
2013-05,,,,72498.0
2013-06,,,,89561.4
2013-07,,,,71724.88
2013-08,,,,67173.76
2013-09,,,,84195.2
2013-10,,,,63404.72
2013-11,,,,55667.31
2013-12,,,,80102.28
2014-01,,,,66459.64
2014-02,,,,66346.57
2014-03,,,,88331.2
2014-04,,,,71282.13
2014-05,,,,71761.73
2014-06,,,,84745.84
2014-07,,,,66326.97
2014-08,,,,65045.97
2014-09,,,,82200.16
2014-10,,,,62528.59
2014-11,,,,59775.35
2014-12,,,,71545.0
2015-01,,,,73905.69
2015-02,,,,69263.6
2015-03,,,,74002.17
2015-04,,,,74878.53
2015-05,,,,80816.07
2015-06,,,,72651.45
2015-07,,,,78906.57
2015-08,,,,71906.75
2015-09,,,,73694.64
2015-10,,,,73647.41
2015-11,,,,62972.3
2015-12,,,,77079.0
2016-01,,,,62385.59
2016-02,,,,69144.78
2016-03,,,,75756.49
2016-04,,,,72361.79
2016-05,,,,70636.34
2016-06,,,,75449.07
2016-07,,,,71878.32
2016-08,,,,77091.18
2016-09,,,,66094.53
2016-10,,,,69813.81
2016-11,,,,62608.57
2016-12,,,,71806.8
2017-01,,,,74754.04
2017-02,,,,65860.0
2017-03,,,,72282.64
2017-04,,,,67848.45
2017-05,,,,74292.2
2017-06,,,,75628.72
2017-07,,,,72860.47
2017-08,,,,76525.57
2017-09,,,,62774.84
2017-10,,,,72716.08
2017-11,,,,64395.88
2017-12,,,,68611.1
2018-01,,,,76655.48
2018-02,,,,66711.08
2018-03,,,,75485.26
2018-04,,,,67466.76
2018-05,,,,72091.54
2018-06,,,,64133.02
2018-07,,,,70597.64
2018-08,,,,70023.11
2018-09,,,,61413.33
2018-10,,,,72910.35
2018-11,,,,60446.53
2018-12,,,,66357.25
2019-01,,,,76137.89
2019-02,,,,66123.74
2019-03,,,,67671.19
2019-04,,,,72843.97
2019-05,,,,72095.42
2019-06,,,,66968.93
2019-07,,,,73374.08
2019-08,,,,70486.1
2019-09,,,,65034.8
2019-10,,,,72086.95
2019-11,,,,57312.74
2019-12,,,,69906.32
2020-01,,,,73524.95
2020-02,,,,64468.81
2020-03,,,,70202.45
2020-04,,,,73793.75
2020-05,,,,69314.64
2020-06,,,,73472.02
2020-07,,,,72990.34
2020-08,,,,69578.09
2020-09,,,,71926.48
2020-10,,,,70638.27
2020-11,,,,59982.82
2020-12,,,,72827.02
2021-01,,,,64372.48
2021-02,,,,62825.85
2021-03,,,,73979.8
2021-04,,,,70806.26
2021-05,,,,70400.38
2021-06,,,,75792.14
2021-07,,,,74225.8
2021-08,,,,69749.14
2021-09,,,,66146.46
2021-10,,,,63460.25
2021-11,,,,61889.48
2021-12,,,,68366.67
